Episode, (Transfer RGB), (Transfer RGBD)
724,5.79E-02,8.24E+00
725,2.31E+00,5.90E+00
726,5.20E-01,1.35E+01
727,6.63E-01,8.04E+00
728,3.92E-01,6.87E+00
729,2.60E+00,8.37E+00
730,3.24E-01,1.08E+01
731,3.21E+00,1.06E+01
732,4.41E-01,1.09E+01
733,9.13E-01,8.89E+00
734,2.12E-01,7.42E+00
735,5.27E-01,5.74E+00
736,1.36E+00,7.01E+00
737,1.32E-01,1.26E+01
738,1.26E-01,1.80E+01
739,1.63E+00,1.57E+01
740,1.00E-01,1.57E+01
741,3.61E-01,1.57E+01
742,1.28E-01,8.42E+00
743,3.03E-01,6.19E+00
744,2.36E-01,3.66E+00
745,2.50E-01,8.76E+00
746,1.97E-01,1.15E+01
747,3.28E-01,1.15E+01
748,1.28E-01,6.25E+00
749,3.46E-01,6.44E+00
750,6.50E-01,1.61E+01
751,2.60E+00,1.38E+01
752,1.29E+00,4.59E+00
753,7.79E-01,1.93E+00
754,1.61E-01,7.70E+00
755,6.58E-01,7.71E+00
756,3.37E-01,7.56E+00
757,8.11E-01,1.24E+01
758,7.93E-01,6.87E+00
759,7.87E-01,9.23E+00
760,8.36E-01,9.41E+00
761,2.21E-01,6.02E+00
762,2.12E-01,1.20E+01
763,2.18E+00,8.73E+00
764,2.21E-01,8.81E+00
765,1.20E+00,9.34E+00
766,1.14E-01,7.19E+00
767,8.92E-01,6.03E+00
768,1.91E+00,9.07E+00
769,8.42E-01,5.70E+00
770,3.15E-01,5.61E+00
771,1.25E-01,5.38E+00
772,2.95E-01,6.31E+00
773,1.98E-01,6.34E+00
774,2.32E-01,1.44E+01
775,9.16E-01,3.32E+00
776,9.40E-01,6.24E+00
777,2.12E-01,3.29E+00
778,1.42E+01,5.28E+00
779,6.15E+00,1.03E+01
780,1.44E-01,8.21E+00
781,5.16E-01,9.80E+00
782,6.37E-01,7.27E+00
783,1.32E+00,1.21E+01
784,3.62E+00,1.11E+01
785,1.68E+01,9.50E+00
786,1.62E+01,8.45E+00
787,1.62E+01,1.45E+01
788,1.62E+01,9.41E+00
789,1.60E+01,6.48E+00
790,1.60E+01,1.30E+01
791,1.60E+01,8.85E+00
792,1.60E+01,6.43E+00
793,4.04E+00,1.39E+01
794,1.03E+00,7.56E+00
795,1.41E+00,9.82E+00
796,4.25E-01,1.02E+00
797,1.47E+01,7.82E+00
798,1.36E+01,1.25E+01
799,1.36E+01,2.88E+00
800,1.36E+01,1.57E+01
801,6.47E+00,1.57E+01
802,2.16E+00,1.57E+01
803,2.18E-01,1.57E+01
804,2.75E+00,1.35E+01
805,2.75E+00,7.23E+00
806,2.75E+00,2.62E+00
807,1.52E+01,8.13E+00
808,1.37E+01,1.21E+01
809,1.37E+01,1.21E+01
810,1.37E+01,1.21E+01
811,5.88E+00,1.21E+01
812,1.72E+01,4.66E+00
813,1.51E+01,8.33E+00
814,1.51E+01,1.10E+01
815,5.75E+00,3.70E+00
816,1.66E+01,8.50E+00
817,1.65E+01,1.05E+01
818,1.65E+01,6.74E+00
819,1.65E+01,1.07E+01
820,3.04E+00,1.13E+01
821,2.68E+00,8.60E+00
822,2.68E+00,1.95E+00
823,2.68E+00,6.75E+00
824,1.40E+00,9.50E+00
825,1.17E+00,8.85E+00
